Header,Description,Price (BRL),Price qualifier,Final URL
Dados cadastrais,Correção de classe,250,A partir de,https://servicos.sousacosta.com.br/servicos/alteracao-de-dados-cadastrais/
Troca de titular,Casos travados,350,A partir de,https://servicos.sousacosta.com.br/servicos/alteracao-de-titularidade/
Análise de problemas,Diagnóstico técnico,400,A partir de,https://servicos.sousacosta.com.br/servicos/analise-de-problemas/
Alteração de rateio,Créditos no lugar certo,450,A partir de,https://servicos.sousacosta.com.br/servicos/alteracao-de-rateio/
ART de projeto,Responsável técnico,450,A partir de,https://servicos.sousacosta.com.br/servicos/art-projeto-solar-cosern/
Auditoria de fatura,Memorial de cálculo,500,A partir de,https://servicos.sousacosta.com.br/servicos/consultoria-de-faturamento/
